xid,0.001,0.005,0.01,0.02,ead
404,65.719,37.613,9.403,9.403,2.744
405,242.56,177.12,149.267,0.0,2.652
406,9.61,0.0,0.0,0.0,0.03
407,45.73,0.0,0.0,0.0,0.143
408,337.591,337.591,337.591,65.493,21.11
409,292.217,292.217,292.217,141.433,39.034
410,89.068,89.068,62.348,8.907,3.318
411,244.977,94.316,47.036,0.0,1.531
412,254.178,254.178,169.537,0.0,3.178
413,51.395,25.697,0.0,0.0,0.273
414,40.052,8.01,0.0,0.0,0.16
415,9.414,0.0,0.0,0.0,0.029
416,54.283,54.283,0.0,0.0,0.407
417,57.429,57.429,57.429,19.124,5.547
418,127.476,127.476,118.425,0.0,1.844
419,258.537,258.537,166.239,0.0,3.186
420,122.35,122.35,122.35,65.824,17.962
421,54.442,54.442,45.35,0.0,0.748
422,462.314,349.047,207.579,85.066,25.37
423,207.985,207.985,198.418,28.286,9.978
424,344.883,335.571,261.077,139.678,38.725
425,247.503,190.223,133.209,28.507,9.589
426,77.625,77.625,34.465,0.0,0.841
427,461.527,461.527,433.374,28.153,13.609
428,366.341,366.341,328.608,206.616,55.833
429,163.689,163.689,163.689,136.353,35.862
430,16.532,16.532,16.532,0.0,0.248
431,132.739,132.739,18.982,0.0,1.138
432,110.566,110.566,36.818,0.0,1.105
433,63.704,45.484,0.0,0.0,0.398
434,131.561,75.121,0.0,0.0,0.74
435,156.379,64.299,0.0,0.0,0.77
436,90.116,90.116,90.116,0.0,1.352
437,176.813,176.813,176.813,65.067,18.594
438,91.948,91.948,91.948,91.948,23.906
439,13.421,13.421,13.421,0.0,0.201
440,327.442,327.442,149.641,0.0,3.578
441,95.868,95.868,95.868,0.0,1.438
442,269.942,269.942,269.942,46.43,15.424
443,89.804,89.804,17.961,0.0,0.808
444,219.772,133.841,9.67,0.0,1.345
445,84.446,75.072,18.747,0.0,0.733
446,89.215,62.45,0.0,0.0,0.552
447,90.079,36.032,0.0,0.0,0.439
448,57.913,49.631,16.563,0.0,0.522
449,51.106,51.106,51.106,51.106,13.288
450,145.177,145.177,63.587,0.0,1.566
451,177.418,177.418,158.79,56.064,16.257
452,86.146,86.146,86.146,86.146,22.398
453,89.493,71.595,62.645,8.949,3.255
454,56.097,56.097,56.097,56.097,14.585
455,162.382,162.382,162.382,162.382,42.219
456,44.761,44.761,0.0,0.0,0.336
457,49.197,49.197,24.598,0.0,0.553
458,138.349,138.349,9.269,0.0,1.107
459,97.261,97.261,70.709,0.0,1.26
